section,title,description,priceText,priceCents,imageUrl,uuid
Beverages 饮品,Ice Tea 冰茶 Ice Tea,,$1.95,195,https://tb-static.uber.com/prod/image-proc/processed_images/dcbfc58f0fdc5163d5ec64732732e55c/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b1693357-9655-5703-baca-10480b7fd97e
Beverages 饮品,Ginger Ale 姜汁汽水 Ginger Ale,,$1.95,195,https://tb-static.uber.com/prod/image-proc/processed_images/ff2836fd6a0bf6522d7c0a6e6a99bb74/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,a4971762-087a-5a69-b905-c8f647845968
Beverages 饮品,Water 水 Water,,$1.95,195,https://tb-static.uber.com/prod/image-proc/processed_images/0f34c83184d911490037494a78a6a0d1/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,34a2d4b2-daa5-5921-8831-ba93a8822461
Beverages 饮品,Hot Coffee 热咖啡,,$3.95,395,https://tb-static.uber.com/prod/image-proc/processed_images/94801b37b82b40b0a4dcd9cd3a8a640a/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,44fe7ced-82e5-565e-82c7-c312871d4405
Beverages 饮品,Iced Coffee 冰咖啡,,$3.95,395,https://tb-static.uber.com/prod/image-proc/processed_images/7d8d7728fcab87a5d242b237a8076964/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,3def1c4b-6b37-5b71-b291-348cb36bb2fc
Beverages 饮品,Hot Latte 热拿铁,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/94801b37b82b40b0a4dcd9cd3a8a640a/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,2b4fe49c-72b1-5b12-960d-3affe16f18f3
Beverages 饮品,Iced Latte 冰拿铁,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/daea09ab33d06cb00a8c6d021a738d5e/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,921d718c-577a-54aa-920c-3459cf0e3b2c
Beverages 饮品,Hot Matcha Latte 热抹茶拿铁,,$6.45,645,https://tb-static.uber.com/prod/image-proc/processed_images/527dd485a822b6edbd7dad11f5048d86/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,23599d72-82e9-5999-8515-920ffad7694a
Beverages 饮品,Iced Matcha Latte 冰抹茶拿铁,,$6.45,645,https://tb-static.uber.com/prod/image-proc/processed_images/527dd485a822b6edbd7dad11f5048d86/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,0296ff2e-81cd-56d8-a20d-22bdbafc076b
Beverages 饮品,Iced Spanish Latte 西班牙冰拿铁,,$6.45,645,https://tb-static.uber.com/prod/image-proc/processed_images/daea09ab33d06cb00a8c6d021a738d5e/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,e4c658d3-0e84-5df0-99c4-073005a5de07
Beverages 饮品,Passion Fruit Slush 百香果冰沙,,$5.45,545,https://tb-static.uber.com/prod/image-proc/processed_images/fe70acd1cad58631971ece44bf40416d/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,d6829348-211f-5faf-a3ea-c159e6a88343
Beverages 饮品,Taro Slush 香芋冰沙,,$5.45,545,https://tb-static.uber.com/prod/image-proc/processed_images/f42bfe93e09766283d5a33807b427ca4/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,5dc34d5a-52e8-5521-8734-aada86674bf7
Beverages 饮品,Strawberry Slush 草莓冰沙,,$5.45,545,https://tb-static.uber.com/prod/image-proc/processed_images/f257603efdba577d70da35162c64a4fd/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,9d82d12e-abf2-5c0e-acf1-d4503f259fba
Beverages 饮品,Handmade Milk Tea 手工奶茶,,$4.95,495,https://tb-static.uber.com/prod/image-proc/processed_images/cc927626d7400d83de6042431f430805/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,4c535447-e034-5092-8c3e-4644423e233b
Beverages 饮品,Brown Sugar Bubble Milk Tea 黑糖珍珠奶茶,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/09f7bb5e6132b0fb298daa0bc67e3154/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ed4c1b82-2bf3-5968-952a-424c54a96793
Beverages 饮品,Taro Milk Tea 香芋奶茶,,$4.95,495,https://tb-static.uber.com/prod/image-proc/processed_images/7fc0a4f7db834f294604395d30ac4a39/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,6936ebb2-3e96-57f6-80d9-5b0609bfe76e
Beverages 饮品,Jasmine Milk Tea 茉莉奶茶,,$4.95,495,https://tb-static.uber.com/prod/image-proc/processed_images/9858363bb3de9945ef32b5cd5efecf53/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,d62108a6-fe61-5e40-8be9-ee283e748f85
Beverages 饮品,Brazilian Lemonade 巴西风味柠檬水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/631d5dc4dc41e536c7f923e57564fe39/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,9cefa960-bfeb-5d23-b26c-1c0462136315
Beverages 饮品,Mango Lemonade 芒果柠檬水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/0a0982493111c34c3dd30e74879ea610/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,7fc5392d-ef5c-5de4-aa0a-22aee67b8571
Beverages 饮品,Strawberry Lemonade 草莓柠檬水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/e251b18fc793978dcf6a5380fcf33da3/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ec18444f-fe41-57b3-afdf-ee9bf3256065
Beverages 饮品,Mango Sparkling 芒果气泡水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/ea0c6a2e0530a50938143fa4a1d50243/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b460a108-4bf4-5cf1-b0c1-cc338052410c
Beverages 饮品,Passion Fruit Sparkling 百香果气泡水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/ea0c6a2e0530a50938143fa4a1d50243/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,a852c705-933a-5302-ae52-b1a59609041c
Beverages 饮品,Peach Sparkling 蜜桃气泡水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/ea0c6a2e0530a50938143fa4a1d50243/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,a9638e94-d7e6-5b60-b7f5-51081459fdac
Beverages 饮品,Kumquat Lemon Sparkling 金桔柠檬气泡水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/ea0c6a2e0530a50938143fa4a1d50243/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,c9a971ee-9a2c-5ff1-865c-af0a427cc820
Beverages 饮品,Strawberry Sparkling 草莓气泡水,,$4.45,445,https://tb-static.uber.com/prod/image-proc/processed_images/e251b18fc793978dcf6a5380fcf33da3/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ab854270-9b00-5877-a215-aa5a59906b1f
Dessert 甜品,Cheese Cake 芝士蛋糕,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/3d462758a0cb6e6d6e16810affc84f53/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,30a1a60e-5238-5742-9499-cefa1aab88e1
Dessert 甜品,Oreo Mousse Cake 奥利奥慕斯蛋糕,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/f22c47fffb2b3c5e6138fca8f8a496c6/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,9e8c7407-c7da-5525-83fc-da0833fc57a5
Dessert 甜品,Chocolate Lava Cake 巧克力流心蛋糕,,$5.95,595,https://tb-static.uber.com/prod/image-proc/processed_images/99242e7e73a3ae55ca8bddccd50bb375/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,ea5b1aef-216e-5c84-8044-b2b02c16b671
Dessert 甜品,Tiramisu 提拉米苏,,$6.95,695,https://tb-static.uber.com/prod/image-proc/processed_images/c203bf22e2f86e7959f0100e297fc4e0/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,7138b0f0-0341-5acb-8dde-ccbc79dc1650
Dessert 甜品,Chocolate Chips Brownie 巧克力布朗尼,,$3.95,395,https://tb-static.uber.com/prod/image-proc/processed_images/f8bf767df55965f08913fa35bd358088/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,72d28b66-c5e6-5aef-ae85-5489bae79f41
