section,title,description,priceText,priceCents,imageUrl,uuid
burger/sandwich combo 汉堡系列套餐,Rocks Slider 摇滚脆鸡堡,,$5.99,599,https://tb-static.uber.com/prod/image-proc/processed_images/94233dd7b437c78f8168c8b79c7beedb/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,d5fae5e3-77c9-52d3-a078-c54da9caa37d
burger/sandwich combo 汉堡系列套餐,2 Rocks Slider 2个摇滚脆鸡堡,,$9.99,999,https://tb-static.uber.com/prod/image-proc/processed_images/267d419bc6acda9c8c11bd9002eab21b/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,de1bce21-8cb6-56c3-8f2c-77f639a61e8e
burger/sandwich combo 汉堡系列套餐,Crawfish Grill Chicken Roll 小龙虾烤鸡卷,butter garlic crawfish、、lettuce、grill  chicken  and  rocks special sauce on the toasted  lobster roll,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/705d31aab54b4c2b76f87896e1c9a9ec/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,79ee83bb-0f15-5679-adad-e9a8cc3d95c6
burger/sandwich combo 汉堡系列套餐,Classic Cheese Burger 经典芝士牛肉堡,beef、 lettuce、tomato slices、onion、american cheese、pickle、rocks  special sauce on a toasted brioche buns,$9.99,999,https://tb-static.uber.com/prod/image-proc/processed_images/8c400fabf69b2260115a4b06a71eb2e2/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,4a398e8a-87b2-5cba-b546-f1ce7a0f123f
burger/sandwich combo 汉堡系列套餐,Crispy Fried Fish Burger 深海鳕鱼堡,100% cod filet、 lettuce、tomato slices、rocks special sauce on a toasted brioche buns,$8.99,899,https://tb-static.uber.com/prod/image-proc/processed_images/b58ca0a03a61103c4a1f722d25a45b76/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,366c20eb-2b7d-51b2-b28e-2d9d27fef6d4
burger/sandwich combo 汉堡系列套餐,Chicken Wrap 鸡肉卷 Chicken Wrap,fried  chicken tender、lettuce、 tomato、onion、rocks special sauce on the whole wheat wrap,$8.99,899,https://tb-static.uber.com/prod/image-proc/processed_images/3c5ad526880992eb77af9b570673664f/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,aa7a364f-3359-5863-9050-3d859aacdc96
burger/sandwich combo 汉堡系列套餐,Double Burger 双层牛肉堡,2 pc beef、 lettuce、tomato slices、onion、american cheese、pickle、rocks  special sauce on a toasted brioche buns,$12.99,1299,https://tb-static.uber.com/prod/image-proc/processed_images/975e4c04a93140e5ef2cd75888a0971c/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,2d0278b7-eacf-50cf-9dba-181c848bf693
Mix Combo 汉堡套餐组合,Combo1 Rocks Slider 摇滚鸡腿堡套餐1,,$10.99,1099,https://tb-static.uber.com/prod/image-proc/processed_images/6709dee3ff0f93f64a02cfc9e99858de/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,6d48fc41-e075-5c09-862c-3085424137d2
Mix Combo 汉堡套餐组合,Mix Combo 1 混合套餐1,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/e5d5442cd059a2c5c73e4c4383cf7c8a/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,821afba8-b026-5996-a596-131915bed91b
Mix Combo 汉堡套餐组合,Deluxe Chicken Sandwich Combo 鸡肉三明治套餐,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/2683819a1bfc2dc5b21dc80d7f90489b/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b6cb4235-2d46-55e5-8adb-2813c014a227
Mix Combo 汉堡套餐组合,Classic Cheese Burger Combo 经典芝士汉堡套餐,,$15.99,1599,https://tb-static.uber.com/prod/image-proc/processed_images/bbdcab75cbdffb7fb41af703effa0f73/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,bac14b62-431a-572e-a6db-35b6e8e08271
Mix Combo 汉堡套餐组合,Chicken Wrap Combo 鸡肉卷套餐,,$13.99,1399,https://tb-static.uber.com/prod/image-proc/processed_images/b8d5936d808d8f95ef969c85f99c2738/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,0a3ab67e-0110-5245-bc94-45b9d0b57f60
Mix Combo 汉堡套餐组合,Crispy Fried Fish Combo 深海鳕鱼堡套餐,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/bfbb5f73db11dd55dcc79a0d1d40d5be/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,d7a23b71-d8e1-5c23-a230-297ecfd67d09
Mix Combo 汉堡套餐组合,Crawfish Grilled Chicken Combo 小龙虾烤鸡三明治套餐,,$18.99,1899,https://tb-static.uber.com/prod/image-proc/processed_images/efc1cdabc2d7c3514894968bb77c0f03/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b38f3fd2-b0ed-580a-b6fb-f48a6708cdde
Mix Combo 汉堡套餐组合,Rocks Slider Combo 2 摇滚鸡腿堡 2号套餐,2 rocks slider + 1 side + 1 soda,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/34ed5c562c9c04bbaf75e194b0977a60/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,4f55f5ce-2e5c-5c41-91d8-0433519123da
Mix Combo 汉堡套餐组合,Double Burger Combo 双层牛堡套餐,,$16.99,1699,https://tb-static.uber.com/prod/image-proc/processed_images/293f330046eb15b7e3094668be629a46/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b62e27e6-f0ad-53f3-88a1-ce7711414f87
Snack Combo 小吃套餐,Chicken Wing 6Pcs Combo 鸡翅 6Pcs 套餐,,$12.99,1299,https://tb-static.uber.com/prod/image-proc/processed_images/060fff449fab8f1c98071096c056d466/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,a880f6ee-f672-523c-99c3-e2037192e865
Snack Combo 小吃套餐,Grill Wing 4Pcs Combo 秘制烤翅4Pcs 套餐,,$12.99,1299,https://tb-static.uber.com/prod/image-proc/processed_images/cd84b5d61f5514d8aab5e9d447fb0797/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,466b01e1-ea10-5cf8-bca1-0b49e0fb7dbf
Snack Combo 小吃套餐,Chicken Nuggets 8Pc Combo 上校鸡块 8Pc 套餐,,$11.99,1199,https://tb-static.uber.com/prod/image-proc/processed_images/286caa78fb363c6e8147ebdd2d749e21/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,cabe96b5-0489-539e-b9d5-297594679a1b
Snack Combo 小吃套餐,12Pc Crispy Wings Combo 12Pc 鸡翅套餐,12pc wing + 1 side+1 soda,$19.99,1999,https://tb-static.uber.com/prod/image-proc/processed_images/c1c08932660c49409879fa52eebbee29/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b6088cdb-cdae-5966-9728-d47146f69b6b
Snack Combo 小吃套餐,Combo 12Pc Nuggets 12Pc 上校鸡块套餐,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/9983d4ff6179df62ae0867415944b5f9/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,3876bdf6-c886-5415-8bc2-190c382f1d94
Mix Chicken Combo 鸡块套餐,5Pc Chicken Only 鸡块 (5Pc),,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/113f50cc0ea2a1a2dc95ee142b12e655/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,b9c227c9-252c-51f0-b2e7-1e5d41182ebf
Mix Chicken Combo 鸡块套餐,8Pc Chicken Only 鸡块 (8Pc),,$24.99,2499,https://tb-static.uber.com/prod/image-proc/processed_images/6200cd7bfcf086ed479b92b451e3a6e6/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,f37ec553-4e9b-55b5-a8c3-a662fd9599b7
Mix Chicken Combo 鸡块套餐,12Pc Chicken Only 鸡块 (12Pc),,$34.99,3499,https://tb-static.uber.com/prod/image-proc/processed_images/14e7d78a5c5922d1b77a886f0a20edd8/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,6f6ba892-d91c-55f0-88a5-c62031253654
Mix Chicken Combo 鸡块套餐,2Pc Combo 鸡块套餐2Pc,,$12.99,1299,https://tb-static.uber.com/prod/image-proc/processed_images/5ef37ccd536e34b802fe655535fd3bf0/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,447ba916-8083-54a9-a760-6cd9846a7158
Mix Chicken Combo 鸡块套餐,3Pc Combo 鸡块套餐3Pc,,$14.99,1499,https://tb-static.uber.com/prod/image-proc/processed_images/a781ae095b410521541799dedf94938b/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,516dbf2d-ae41-5cab-a1f4-3f55dc31b5b7
Mix Chicken Combo 鸡块套餐,5Pc Combo 鸡块套餐5Pc,,$19.99,1999,https://tb-static.uber.com/prod/image-proc/processed_images/34f85147ba9d8c22efd1955ad92a15d3/d03e52b3c8af19d8fa8222e23efd9cfa.jpeg,6e91e47c-a53f-5777-9a3f-f5621f0c11f2
